,Rec_Id,speaker,timestamp,text,strategy,source,utterance_length,game_id,voted_for,end_role,votes_target,winner
0,1,kaelan,54,I don't know why this is necessary considering saw the card.,['No Strategy'],Ego4D,11,game10 - 62c4bc58-3776-4791-ac30-4c9ca5619503,,Villager,None,Werewolves
1,3,kaelan,65,I am a Villager.,['Identity Declaration'],Ego4D,4,game10 - 62c4bc58-3776-4791-ac30-4c9ca5619503,,Villager,None,Werewolves
2,8,kaelan,85,"Like, I mean-",['No Strategy'],Ego4D,3,game10 - 62c4bc58-3776-4791-ac30-4c9ca5619503,,Villager,None,Werewolves
3,11,kaelan,101,"But, I-I-I-I-",['No Strategy'],Ego4D,2,game10 - 62c4bc58-3776-4791-ac30-4c9ca5619503,,Villager,None,Werewolves
4,13,kaelan,0,"Continue. Well, I guess we don't really need to, do we?",['No Strategy'],Ego4D,11,game10 - 62c4bc58-3776-4791-ac30-4c9ca5619503,,Villager,None,Werewolves
5,19,kaelan,11,"I knew when he said yeah, I was-",['No Strategy'],Ego4D,8,game10 - 62c4bc58-3776-4791-ac30-4c9ca5619503,,Villager,None,Werewolves
6,4,jessica,66,Same.,['No Strategy'],Ego4D,1,game10 - 62c4bc58-3776-4791-ac30-4c9ca5619503,,Villager,None,Werewolves
7,6,jessica,77,What happens?,['No Strategy'],Ego4D,2,game10 - 62c4bc58-3776-4791-ac30-4c9ca5619503,,Villager,None,Werewolves
8,17,jessica,11,"Oh, my God, are you serious?",['No Strategy'],Ego4D,6,game10 - 62c4bc58-3776-4791-ac30-4c9ca5619503,,Villager,None,Werewolves
9,9,kevin,88,How can nobody raise their goddamn phones? Whatever.,['No Strategy'],Ego4D,8,game10 - 62c4bc58-3776-4791-ac30-4c9ca5619503,,Minion,None,Werewolves
10,15,kevin,6,Yeah.,['No Strategy'],Ego4D,1,game10 - 62c4bc58-3776-4791-ac30-4c9ca5619503,,Minion,None,Werewolves
11,7,hunter,30,"Oh, wait. You're supposed to do your action in that five seconds.",['No Strategy'],Ego4D,12,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
12,14,hunter,63,"I think I just checked my card, and I wasn't supposed to.",['No Strategy'],Ego4D,12,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
13,18,hunter,68,I heard cards sliding in on this area.,['No Strategy'],Ego4D,8,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
14,20,hunter,77,I think we should move bowls that way. I think all the cards should be like here.,['No Strategy'],Ego4D,17,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
15,26,hunter,88,We're learning. We've got this.,['No Strategy'],Ego4D,5,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
16,28,hunter,90,Okay.,['No Strategy'],Ego4D,1,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
17,30,hunter,92,"I think we passed the first test, right?",['Interrogation'],Ego4D,8,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
18,34,hunter,98,It took us a little longer than he's supposed to.,['No Strategy'],Ego4D,10,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
19,37,hunter,109,"Yeah, probably.",['No Strategy'],Ego4D,2,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
20,38,hunter,110,"So, one of these two... Wait, it depends.",['No Strategy'],Ego4D,8,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
21,39,hunter,115,Which one when was the card sliding?,['Interrogation'],Ego4D,7,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
22,41,hunter,121,"Or was it, was that the robber?",['Interrogation'],Ego4D,7,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
23,43,hunter,127,"Okay. So, whoever is a troublemaker...",['Call for Action'],Ego4D,6,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
24,44,hunter,133,"So, one of these two is not the werewolf.",['Interrogation'],Ego4D,9,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
25,46,hunter,136,I'm saying here.,['No Strategy'],Ego4D,3,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
26,49,hunter,141,"No, well, we have two cards,",['No Strategy'],Ego4D,6,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
27,51,hunter,144,"Two werewolf cards, one in there.",['Evidence'],Ego4D,6,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
28,54,hunter,148,Correct.,['No Strategy'],Ego4D,1,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
29,56,hunter,152,Okay. Wacky.,['No Strategy'],Ego4D,2,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
30,58,hunter,155,Interesting.,['No Strategy'],Ego4D,1,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
31,65,hunter,179,"I've never had a card like this. Yeah. Because, I mean in Mafia or Town of Salem or something, you're trying to hunt somebody down.",['No Strategy'],Ego4D,25,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
32,66,hunter,190,"And you're not fucking with other people. Oh, sorry. I don't know if we're out of curse. I don't know if you're messing with other people's roles.",['Accusation'],Ego4D,27,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
33,67,hunter,196,"So, this is the first one.",['No Strategy'],Ego4D,6,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
34,70,hunter,199,Very interesting.,['No Strategy'],Ego4D,2,game1 - 324bccd2-adff-4e9a-8ff4-03491e144ac3,zack,Werewolf,None,Werewolves
